Order No;Item ID;Sales Date;Deilvery Date;Customer Id;City Id;Qty;Price;cost;DISC2;Dis Per;Gross Sales;Discount;Net Sales;Month Year;Sales Date time;Sales Date 1;Custom;COGS Amount
21406;38;15/8/2020 00:00;22/8/2020;4255;64;2;83;66;22;20;166;33.2;132.8;202008;8/15/2020;15/8/2020 00:00;4YOP;132
21474;20;14/8/2020 00:00;15/8/2020;2795;34;2;83;66;45.1;41;166;68.06;97.94;202008;8/14/2020;14/8/2020 00:00;4YOP;132
23704;36;14/8/2020 00:00;17/8/2020;359;82;2;83;66;27.5;25;166;41.5;124.5;202008;8/14/2020;14/8/2020 00:00;4YOP;132
29906;28;11/8/2020 00:00;14/8/2020;2325;26;2;83;66;13.2;12;166;19.92;146.08;202008;8/11/2020;11/8/2020 00:00;4YOP;132
21805;46;10/8/2020 00:00;13/8/2020;6362;7;2;83;66;14.3;13;166;21.58;144.42;202008;8/10/2020;10/8/2020 00:00;4YOP;132
27238;20;7/8/2020 00:00;13/8/2020;138;23;2;83;66;40.7;37;166;61.42;104.58;202008;8/7/2020;7/8/2020 00:00;4YOP;132
25770;37;4/8/2020 00:00;12/8/2020;54;42;2;83;66;44;40;166;66.4;99.6;202008;8/4/2020;4/8/2020 00:00;4YOP;132
27233;18;29/7/2020 00:00;5/8/2020;5431;93;2;83;66;48.4;44;166;73.04;92.96;202007;7/29/2020;29/7/2020 00:00;4YOP;132
21832;15;27/7/2020 00:00;5/8/2020;3537;10;2;83;66;34.1;31;166;51.46;114.54;202007;7/27/2020;27/7/2020 00:00;4YOP;132
28126;44;26/7/2020 00:00;2/8/2020;1471;96;2;83;66;5.5;5;166;8.3;157.7;202007;7/26/2020;26/7/2020 00:00;4YOP;132
28146;29;19/7/2020 00:00;27/7/2020;5915;73;2;83;66;15.4;14;166;23.24;142.76;202007;7/19/2020;19/7/2020 00:00;4YOP;132
20107;32;17/7/2020 00:00;25/7/2020;4898;9;2;83;66;13.2;12;166;19.92;146.08;202007;7/17/2020;17/7/2020 00:00;4YOP;132
26853;51;17/7/2020 00:00;20/7/2020;4900;20;2;83;66;23.1;21;166;34.86;131.14;202007;7/17/2020;17/7/2020 00:00;4YOP;132
22722;17;15/7/2020 00:00;20/7/2020;3386;83;2;83;66;26.4;24;166;39.84;126.16;202007;7/15/2020;15/7/2020 00:00;4YOP;132
27574;35;15/7/2020 00:00;16/7/2020;2391;24;2;83;66;5.5;5;166;8.3;157.7;202007;7/15/2020;15/7/2020 00:00;4YOP;132
29229;29;15/7/2020 00:00;18/7/2020;4871;35;2;83;66;37.4;34;166;56.44;109.56;202007;7/15/2020;15/7/2020 00:00;4YOP;132
20944;14;14/7/2020 00:00;18/7/2020;1587;23;2;83;66;46.2;42;166;69.72;96.28;202007;7/14/2020;14/7/2020 00:00;4YOP;132
23376;33;14/7/2020 00:00;23/7/2020;310;25;2;83;66;30.8;28;166;46.48;119.52;202007;7/14/2020;14/7/2020 00:00;4YOP;132
24445;46;10/7/2020 00:00;19/7/2020;1300;30;2;83;66;28.6;26;166;43.16;122.84;202007;7/10/2020;10/7/2020 00:00;4YOP;132
28653;19;8/7/2020 00:00;11/7/2020;6381;12;2;83;66;48.4;44;166;73.04;92.96;202007;7/8/2020;8/7/2020 00:00;4YOP;132
25448;13;7/7/2020 00:00;14/7/2020;5102;47;2;83;66;16.5;15;166;24.9;141.1;202007;7/7/2020;7/7/2020 00:00;4YOP;132
21748;39;6/7/2020 00:00;9/7/2020;99;37;2;83;66;47.3;43;166;71.38;94.62;202007;7/6/2020;6/7/2020 00:00;4YOP;132
28230;36;4/7/2020 00:00;14/7/2020;5526;31;2;83;66;17.6;16;166;26.56;139.44;202007;7/4/2020;4/7/2020 00:00;4YOP;132
28663;53;3/7/2020 00:00;5/7/2020;5896;67;2;83;66;26.4;24;166;39.84;126.16;202007;7/3/2020;3/7/2020 00:00;4YOP;132
24480;16;2/7/2020 00:00;10/7/2020;4103;65;2;83;66;28.6;26;166;43.16;122.84;202007;7/2/2020;2/7/2020 00:00;4YOP;132
28475;51;30/6/2020 00:00;4/7/2020;5238;100;2;83;66;18.7;17;166;28.22;137.78;202006;6/30/2020;30/6/2020 00:00;4YOP;132
26969;51;24/6/2020 00:00;29/6/2020;6282;23;2;83;66;20.9;19;166;31.54;134.46;202006;6/24/2020;24/6/2020 00:00;4YOP;132
28689;34;22/6/2020 00:00;29/6/2020;5975;83;2;83;66;31.9;29;166;48.14;117.86;202006;6/22/2020;22/6/2020 00:00;4YOP;132
21562;35;21/6/2020 00:00;28/6/2020;5170;59;2;83;66;11;10;166;16.6;149.4;202006;6/21/2020;21/6/2020 00:00;4YOP;132
24806;45;20/6/2020 00:00;23/6/2020;5250;90;2;83;66;31.9;29;166;48.14;117.86;202006;6/20/2020;20/6/2020 00:00;4YOP;132
26868;29;15/6/2020 00:00;19/6/2020;3068;6;2;83;66;45.1;41;166;68.06;97.94;202006;6/15/2020;15/6/2020 00:00;4YOP;132
23315;47;13/6/2020 00:00;20/6/2020;2261;47;2;83;66;13.2;12;166;19.92;146.08;202006;6/13/2020;13/6/2020 00:00;4YOP;132
26483;21;10/6/2020 00:00;17/6/2020;167;48;2;83;66;25.3;23;166;38.18;127.82;202006;6/10/2020;10/6/2020 00:00;4YOP;132
22310;33;9/6/2020 00:00;17/6/2020;5532;48;2;83;66;14.3;13;166;21.58;144.42;202006;6/9/2020;9/6/2020 00:00;4YOP;132
26656;44;7/6/2020 00:00;16/6/2020;6093;23;2;83;66;29.7;27;166;44.82;121.18;202006;6/7/2020;7/6/2020 00:00;4YOP;132
20779;30;5/6/2020 00:00;6/6/2020;3759;77;2;83;66;41.8;38;166;63.08;102.92;202006;6/5/2020;5/6/2020 00:00;4YOP;132
24958;48;5/6/2020 00:00;6/6/2020;501;34;2;83;66;19.8;18;166;29.88;136.12;202006;6/5/2020;5/6/2020 00:00;4YOP;132
28188;26;4/6/2020 00:00;8/6/2020;861;37;2;83;66;42.9;39;166;64.74;101.26;202006;6/4/2020;4/6/2020 00:00;4YOP;132
23606;51;2/6/2020 00:00;5/6/2020;5104;35;2;83;66;9.9;9;166;14.94;151.06;202006;6/2/2020;2/6/2020 00:00;4YOP;132
24352;18;2/6/2020 00:00;10/6/2020;4065;14;2;83;66;37.4;34;166;56.44;109.56;202006;6/2/2020;2/6/2020 00:00;4YOP;132
26860;22;2/6/2020 00:00;9/6/2020;5484;84;2;83;66;11;10;166;16.6;149.4;202006;6/2/2020;2/6/2020 00:00;4YOP;132
29617;42;31/5/2020 00:00;8/6/2020;364;30;2;83;66;7.7;7;166;11.62;154.38;202005;5/31/2020;31/5/2020 00:00;4YOP;132
22504;36;26/5/2020 00:00;4/6/2020;802;95;2;83;66;38.5;35;166;58.1;107.9;202005;5/26/2020;26/5/2020 00:00;4YOP;132
26389;28;26/5/2020 00:00;29/5/2020;3282;92;2;83;66;42.9;39;166;64.74;101.26;202005;5/26/2020;26/5/2020 00:00;4YOP;132
25898;25;25/5/2020 00:00;27/5/2020;5654;50;2;83;66;28.6;26;166;43.16;122.84;202005;5/25/2020;25/5/2020 00:00;4YOP;132
20003;47;21/5/2020 00:00;25/5/2020;157;98;2;83;66;23.1;21;166;34.86;131.14;202005;5/21/2020;21/5/2020 00:00;4YOP;132
20843;35;20/5/2020 00:00;26/5/2020;2538;1;2;83;66;42.9;39;166;64.74;101.26;202005;5/20/2020;20/5/2020 00:00;4YOP;132
20247;13;7/5/2020 00:00;7/5/2020;2285;29;2;83;66;36.3;33;166;54.78;111.22;202005;5/7/2020;7/5/2020 00:00;4YOP;132
21823;26;7/5/2020 00:00;13/5/2020;1504;18;2;83;66;48.4;44;166;73.04;92.96;202005;5/7/2020;7/5/2020 00:00;4YOP;132
20154;51;2/5/2020 00:00;9/5/2020;3680;10;2;83;66;19.8;18;166;29.88;136.12;202005;5/2/2020;2/5/2020 00:00;4YOP;132
25558;40;30/4/2020 00:00;7/5/2020;2069;27;2;83;66;23.1;21;166;34.86;131.14;202004;4/30/2020;30/4/2020 00:00;4YOP;132
25950;22;28/4/2020 00:00;2/5/2020;2018;33;2;83;66;48.4;44;166;73.04;92.96;202004;4/28/2020;28/4/2020 00:00;4YOP;132
27518;20;27/4/2020 00:00;7/5/2020;2797;12;2;83;66;7.7;7;166;11.62;154.38;202004;4/27/2020;27/4/2020 00:00;4YOP;132
26057;17;26/4/2020 00:00;27/4/2020;5083;63;2;83;66;46.2;42;166;69.72;96.28;202004;4/26/2020;26/4/2020 00:00;4YOP;132
25032;54;24/4/2020 00:00;24/4/2020;2094;63;2;83;66;45.1;41;166;68.06;97.94;202004;4/24/2020;24/4/2020 00:00;4YOP;132
26786;44;21/4/2020 00:00;30/4/2020;3442;75;2;83;66;1.1;1;166;1.66;164.34;202004;4/21/2020;21/4/2020 00:00;4YOP;132
24635;34;20/4/2020 00:00;20/4/2020;215;96;2;83;66;11;10;166;16.6;149.4;202004;4/20/2020;20/4/2020 00:00;4YOP;132
27096;36;16/4/2020 00:00;18/4/2020;3616;52;2;83;66;31.9;29;166;48.14;117.86;202004;4/16/2020;16/4/2020 00:00;4YOP;132
27287;47;16/4/2020 00:00;26/4/2020;6278;99;2;83;66;45.1;41;166;68.06;97.94;202004;4/16/2020;16/4/2020 00:00;4YOP;132
21784;55;9/4/2020 00:00;9/4/2020;925;95;2;83;66;18.7;17;166;28.22;137.78;202004;4/9/2020;9/4/2020 00:00;4YOP;132
27097;42;8/4/2020 00:00;12/4/2020;3724;49;2;83;66;17.6;16;166;26.56;139.44;202004;4/8/2020;8/4/2020 00:00;4YOP;132
22767;54;6/4/2020 00:00;9/4/2020;5002;29;2;83;66;37.4;34;166;56.44;109.56;202004;4/6/2020;6/4/2020 00:00;4YOP;132
24899;49;6/4/2020 00:00;10/4/2020;1341;50;2;83;66;29.7;27;166;44.82;121.18;202004;4/6/2020;6/4/2020 00:00;4YOP;132
28627;52;6/4/2020 00:00;12/4/2020;3566;16;2;83;66;3.3;3;166;4.98;161.02;202004;4/6/2020;6/4/2020 00:00;4YOP;132
19206;30;5/4/2020 00:00;11/4/2020;1613;13;2;83;66;3.3;3;166;4.98;161.02;202004;4/5/2020;5/4/2020 00:00;4YOP;132
22984;22;4/4/2020 00:00;9/4/2020;595;24;2;83;66;18.7;17;166;28.22;137.78;202004;4/4/2020;4/4/2020 00:00;4YOP;132
27290;26;4/4/2020 00:00;9/4/2020;1397;58;2;83;66;2.2;2;166;3.32;162.68;202004;4/4/2020;4/4/2020 00:00;4YOP;132
24270;32;3/4/2020 00:00;4/4/2020;1415;55;2;83;66;17.6;16;166;26.56;139.44;202004;4/3/2020;3/4/2020 00:00;4YOP;132
17450;20;30/3/2020 00:00;4/4/2020;2203;18;2;83;66;7.7;7;166;11.62;154.38;202003;3/30/2020;30/3/2020 00:00;4YOP;132
24875;21;30/3/2020 00:00;9/4/2020;2289;12;2;83;66;35.2;32;166;53.12;112.88;202003;3/30/2020;30/3/2020 00:00;4YOP;132
25185;24;30/3/2020 00:00;1/4/2020;1558;88;2;83;66;41.8;38;166;63.08;102.92;202003;3/30/2020;30/3/2020 00:00;4YOP;132
25740;22;29/3/2020 00:00;6/4/2020;508;3;2;83;66;49.5;45;166;74.7;91.3;202003;3/29/2020;29/3/2020 00:00;4YOP;132
29640;15;29/3/2020 00:00;7/4/2020;2748;55;2;83;66;36.3;33;166;54.78;111.22;202003;3/29/2020;29/3/2020 00:00;4YOP;132
17295;32;28/3/2020 00:00;6/4/2020;4654;92;2;83;66;26.4;24;166;39.84;126.16;202003;3/28/2020;28/3/2020 00:00;4YOP;132
20201;16;28/3/2020 00:00;4/4/2020;5641;77;2;83;66;38.5;35;166;58.1;107.9;202003;3/28/2020;28/3/2020 00:00;4YOP;132
29780;25;28/3/2020 00:00;5/4/2020;4160;85;2;83;66;40.7;37;166;61.42;104.58;202003;3/28/2020;28/3/2020 00:00;4YOP;132
21471;55;25/3/2020 00:00;30/3/2020;5829;27;2;83;66;22;20;166;33.2;132.8;202003;3/25/2020;25/3/2020 00:00;4YOP;132
26983;13;25/3/2020 00:00;30/3/2020;5631;66;2;83;66;5.5;5;166;8.3;157.7;202003;3/25/2020;25/3/2020 00:00;4YOP;132
12075;32;24/3/2020 00:00;26/3/2020;1189;9;2;83;66;2.2;2;166;3.32;162.68;202003;3/24/2020;24/3/2020 00:00;4YOP;132
28068;46;24/3/2020 00:00;25/3/2020;4438;48;2;83;66;17.6;16;166;26.56;139.44;202003;3/24/2020;24/3/2020 00:00;4YOP;132
18199;36;23/3/2020 00:00;1/4/2020;4715;27;2;83;66;18.7;17;166;28.22;137.78;202003;3/23/2020;23/3/2020 00:00;4YOP;132
26627;36;21/3/2020 00:00;27/3/2020;3574;94;2;83;66;2.2;2;166;3.32;162.68;202003;3/21/2020;21/3/2020 00:00;4YOP;132
26992;14;21/3/2020 00:00;31/3/2020;3542;78;2;83;66;5.5;5;166;8.3;157.7;202003;3/21/2020;21/3/2020 00:00;4YOP;132
28358;37;21/3/2020 00:00;25/3/2020;249;7;2;83;66;15.4;14;166;23.24;142.76;202003;3/21/2020;21/3/2020 00:00;4YOP;132
20438;47;19/3/2020 00:00;19/3/2020;5067;100;2;83;66;23.1;21;166;34.86;131.14;202003;3/19/2020;19/3/2020 00:00;4YOP;132
12781;21;17/3/2020 00:00;21/3/2020;191;21;2;83;66;24.2;22;166;36.52;129.48;202003;3/17/2020;17/3/2020 00:00;4YOP;132
23289;53;17/3/2020 00:00;20/3/2020;6466;91;2;83;66;46.2;42;166;69.72;96.28;202003;3/17/2020;17/3/2020 00:00;4YOP;132
13753;9;13/3/2020 00:00;23/3/2020;2736;4;2;83;66;41.8;38;166;63.08;102.92;202003;3/13/2020;13/3/2020 00:00;4YOP;132
17887;7;13/3/2020 00:00;17/3/2020;2583;31;2;83;66;26.4;24;166;39.84;126.16;202003;3/13/2020;13/3/2020 00:00;4YOP;132
24804;26;12/3/2020 00:00;16/3/2020;4291;39;2;83;66;12.1;11;166;18.26;147.74;202003;3/12/2020;12/3/2020 00:00;4YOP;132
29762;31;11/3/2020 00:00;12/3/2020;5483;48;2;83;66;39.6;36;166;59.76;106.24;202003;3/11/2020;11/3/2020 00:00;4YOP;132
11721;34;8/3/2020 00:00;15/3/2020;2453;10;2;83;66;17.6;16;166;26.56;139.44;202003;3/8/2020;8/3/2020 00:00;4YOP;132
16347;11;3/3/2020 00:00;8/3/2020;2803;55;2;83;66;34.1;31;166;51.46;114.54;202003;3/3/2020;3/3/2020 00:00;4YOP;132
18802;21;3/3/2020 00:00;6/3/2020;4063;28;2;83;66;34.1;31;166;51.46;114.54;202003;3/3/2020;3/3/2020 00:00;4YOP;132
26305;29;2/3/2020 00:00;3/3/2020;5420;85;2;83;66;48.4;44;166;73.04;92.96;202003;3/2/2020;2/3/2020 00:00;4YOP;132
27895;45;2/3/2020 00:00;3/3/2020;6200;49;2;83;66;9.9;9;166;14.94;151.06;202003;3/2/2020;2/3/2020 00:00;4YOP;132
28556;31;1/3/2020 00:00;3/3/2020;141;50;2;83;66;44;40;166;66.4;99.6;202003;3/1/2020;1/3/2020 00:00;4YOP;132
10865;37;29/2/2020 00:00;4/3/2020;2820;23;2;83;66;29.7;27;166;44.82;121.18;202002;2/29/2020;29/2/2020 00:00;4YOP;132
12201;36;29/2/2020 00:00;8/3/2020;2140;24;2;83;66;47.3;43;166;71.38;94.62;202002;2/29/2020;29/2/2020 00:00;4YOP;132
28419;47;29/2/2020 00:00;2/3/2020;176;37;2;83;66;7.7;7;166;11.62;154.38;202002;2/29/2020;29/2/2020 00:00;4YOP;132
28544;49;29/2/2020 00:00;8/3/2020;6452;47;2;83;66;39.6;36;166;59.76;106.24;202002;2/29/2020;29/2/2020 00:00;4YOP;132
13775;7;27/2/2020 00:00;3/3/2020;4451;20;2;83;66;45.1;41;166;68.06;97.94;202002;2/27/2020;27/2/2020 00:00;4YOP;132
15481;25;26/2/2020 00:00;2/3/2020;2047;28;2;83;66;36.3;33;166;54.78;111.22;202002;2/26/2020;26/2/2020 00:00;4YOP;132
12747;12;25/2/2020 00:00;28/2/2020;1379;56;2;83;66;22;20;166;33.2;132.8;202002;2/25/2020;25/2/2020 00:00;4YOP;132
12943;12;24/2/2020 00:00;2/3/2020;769;98;2;83;66;9.9;9;166;14.94;151.06;202002;2/24/2020;24/2/2020 00:00;4YOP;132
25544;50;21/2/2020 00:00;22/2/2020;4027;34;2;83;66;18.7;17;166;28.22;137.78;202002;2/21/2020;21/2/2020 00:00;4YOP;132
13908;9;20/2/2020 00:00;1/3/2020;4334;100;2;83;66;12.1;11;166;18.26;147.74;202002;2/20/2020;20/2/2020 00:00;4YOP;132
17161;24;19/2/2020 00:00;29/2/2020;1945;7;2;83;66;34.1;31;166;51.46;114.54;202002;2/19/2020;19/2/2020 00:00;4YOP;132
17479;25;19/2/2020 00:00;24/2/2020;669;91;2;83;66;45.1;41;166;68.06;97.94;202002;2/19/2020;19/2/2020 00:00;4YOP;132
26223;13;19/2/2020 00:00;24/2/2020;4221;11;2;83;66;13.2;12;166;19.92;146.08;202002;2/19/2020;19/2/2020 00:00;4YOP;132
14963;23;18/2/2020 00:00;22/2/2020;2384;9;2;83;66;27.5;25;166;41.5;124.5;202002;2/18/2020;18/2/2020 00:00;4YOP;132
19652;16;18/2/2020 00:00;20/2/2020;2377;37;2;83;66;30.8;28;166;46.48;119.52;202002;2/18/2020;18/2/2020 00:00;4YOP;132
10585;9;16/2/2020 00:00;20/2/2020;390;11;2;83;66;5.5;5;166;8.3;157.7;202002;2/16/2020;16/2/2020 00:00;4YOP;132
11445;10;16/2/2020 00:00;20/2/2020;4765;3;2;83;66;9.9;9;166;14.94;151.06;202002;2/16/2020;16/2/2020 00:00;4YOP;132
22144;23;16/2/2020 00:00;24/2/2020;4040;5;2;83;66;44;40;166;66.4;99.6;202002;2/16/2020;16/2/2020 00:00;4YOP;132
13862;9;12/2/2020 00:00;16/2/2020;551;54;2;83;66;14.3;13;166;21.58;144.42;202002;2/12/2020;12/2/2020 00:00;4YOP;132
20194;46;12/2/2020 00:00;17/2/2020;4064;48;2;83;66;49.5;45;166;74.7;91.3;202002;2/12/2020;12/2/2020 00:00;4YOP;132
12784;33;11/2/2020 00:00;16/2/2020;107;13;2;83;66;6.6;6;166;9.96;156.04;202002;2/11/2020;11/2/2020 00:00;4YOP;132
24174;25;11/2/2020 00:00;20/2/2020;1172;4;2;83;66;2.2;2;166;3.32;162.68;202002;2/11/2020;11/2/2020 00:00;4YOP;132
25775;12;11/2/2020 00:00;12/2/2020;2832;34;2;83;66;22;20;166;33.2;132.8;202002;2/11/2020;11/2/2020 00:00;4YOP;132
18968;18;8/2/2020 00:00;13/2/2020;1914;68;2;83;66;16.5;15;166;24.9;141.1;202002;2/8/2020;8/2/2020 00:00;4YOP;132
14006;10;7/2/2020 00:00;16/2/2020;2836;32;2;83;66;16.5;15;166;24.9;141.1;202002;2/7/2020;7/2/2020 00:00;4YOP;132
11605;40;5/2/2020 00:00;9/2/2020;378;34;2;83;66;39.6;36;166;59.76;106.24;202002;2/5/2020;5/2/2020 00:00;4YOP;132
15174;7;5/2/2020 00:00;6/2/2020;2831;37;2;83;66;27.5;25;166;41.5;124.5;202002;2/5/2020;5/2/2020 00:00;4YOP;132
25519;46;5/2/2020 00:00;11/2/2020;2508;9;2;83;66;30.8;28;166;46.48;119.52;202002;2/5/2020;5/2/2020 00:00;4YOP;132
25842;53;29/1/2020 00:00;5/2/2020;1356;52;2;83;66;1.1;1;166;1.66;164.34;202001;1/29/2020;29/1/2020 00:00;4YOP;132
18597;9;27/1/2020 00:00;30/1/2020;1011;49;2;83;66;35.2;32;166;53.12;112.88;202001;1/27/2020;27/1/2020 00:00;4YOP;132
26893;55;26/1/2020 00:00;30/1/2020;6258;68;2;83;66;24.2;22;166;36.52;129.48;202001;1/26/2020;26/1/2020 00:00;4YOP;132
23714;28;24/1/2020 00:00;30/1/2020;4819;86;2;83;66;27.5;25;166;41.5;124.5;202001;1/24/2020;24/1/2020 00:00;4YOP;132
24583;50;24/1/2020 00:00;28/1/2020;4249;70;2;83;66;44;40;166;66.4;99.6;202001;1/24/2020;24/1/2020 00:00;4YOP;132
14257;10;23/1/2020 00:00;27/1/2020;2653;7;2;83;66;3.3;3;166;4.98;161.02;202001;1/23/2020;23/1/2020 00:00;4YOP;132
11740;31;22/1/2020 00:00;22/1/2020;541;26;2;83;66;35.2;32;166;53.12;112.88;202001;1/22/2020;22/1/2020 00:00;4YOP;132
16628;17;18/1/2020 00:00;26/1/2020;3825;100;2;83;66;34.1;31;166;51.46;114.54;202001;1/18/2020;18/1/2020 00:00;4YOP;132
24785;39;18/1/2020 00:00;26/1/2020;3199;100;2;83;66;36.3;33;166;54.78;111.22;202001;1/18/2020;18/1/2020 00:00;4YOP;132
11171;17;16/1/2020 00:00;22/1/2020;2387;7;2;83;66;8.8;8;166;13.28;152.72;202001;1/16/2020;16/1/2020 00:00;4YOP;132
15754;17;16/1/2020 00:00;19/1/2020;2770;6;2;83;66;27.5;25;166;41.5;124.5;202001;1/16/2020;16/1/2020 00:00;4YOP;132
12110;35;15/1/2020 00:00;20/1/2020;763;16;2;83;66;44;40;166;66.4;99.6;202001;1/15/2020;15/1/2020 00:00;4YOP;132
20649;15;14/1/2020 00:00;16/1/2020;2542;39;2;83;66;27.5;25;166;41.5;124.5;202001;1/14/2020;14/1/2020 00:00;4YOP;132
22439;12;14/1/2020 00:00;16/1/2020;1876;81;2;83;66;15.4;14;166;23.24;142.76;202001;1/14/2020;14/1/2020 00:00;4YOP;132
15438;21;13/1/2020 00:00;16/1/2020;802;95;2;83;66;28.6;26;166;43.16;122.84;202001;1/13/2020;13/1/2020 00:00;4YOP;132
27563;38;12/1/2020 00:00;19/1/2020;341;12;2;83;66;13.2;12;166;19.92;146.08;202001;1/12/2020;12/1/2020 00:00;4YOP;132
19338;30;11/1/2020 00:00;16/1/2020;431;18;2;83;66;7.7;7;166;11.62;154.38;202001;1/11/2020;11/1/2020 00:00;4YOP;132
19359;19;11/1/2020 00:00;18/1/2020;2583;31;2;83;66;31.9;29;166;48.14;117.86;202001;1/11/2020;11/1/2020 00:00;4YOP;132
23795;43;11/1/2020 00:00;18/1/2020;1522;49;2;83;66;1.1;1;166;1.66;164.34;202001;1/11/2020;11/1/2020 00:00;4YOP;132
11544;22;10/1/2020 00:00;20/1/2020;2957;47;2;83;66;9.9;9;166;14.94;151.06;202001;1/10/2020;10/1/2020 00:00;4YOP;132
26771;16;10/1/2020 00:00;14/1/2020;5941;4;2;83;66;47.3;43;166;71.38;94.62;202001;1/10/2020;10/1/2020 00:00;4YOP;132
18447;8;9/1/2020 00:00;17/1/2020;1630;96;2;83;66;5.5;5;166;8.3;157.7;202001;1/9/2020;9/1/2020 00:00;4YOP;132
23217;35;8/1/2020 00:00;15/1/2020;3663;67;2;83;66;19.8;18;166;29.88;136.12;202001;1/8/2020;8/1/2020 00:00;4YOP;132
14570;9;6/1/2020 00:00;14/1/2020;3467;43;2;83;66;38.5;35;166;58.1;107.9;202001;1/6/2020;6/1/2020 00:00;4YOP;132
17588;35;3/1/2020 00:00;13/1/2020;4840;18;2;83;66;38.5;35;166;58.1;107.9;202001;1/3/2020;3/1/2020 00:00;4YOP;132
