ProductKey;ProductSubcategoryKey;ProductSKU;ProductName;ModelName;ProductDescription;ProductColor;ProductSize;ProductStyle;ProductCost;ProductPrice
225;14;FR-R92R-44;HL Road Frame - Red, 44;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Red;44;U;747,9682;1263,4598
226;14;FR-R92R-48;HL Road Frame - Red, 48;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Red;48;U;747,9682;1263,4598
227;14;FR-R92R-52;HL Road Frame - Red, 52;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Red;52;U;747,9682;1263,4598
228;14;FR-R92R-56;HL Road Frame - Red, 56;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Red;56;U;747,9682;1263,4598
229;14;FR-R38B-58;LL Road Frame - Black, 58;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;58;U;176,1997;297,6346
230;14;FR-R38B-60;LL Road Frame - Black, 60;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;60;U;176,1997;297,6346
231;14;FR-R38B-62;LL Road Frame - Black, 62;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;62;U;176,1997;297,6346
232;14;FR-R38R-44;LL Road Frame - Red, 44;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;44;U;181,4857;306,5636
233;14;FR-R38R-48;LL Road Frame - Red, 48;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;48;U;181,4857;306,5636
234;14;FR-R38R-52;LL Road Frame - Red, 52;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;52;U;181,4857;306,5636
235;14;FR-R38R-58;LL Road Frame - Red, 58;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;58;U;181,4857;306,5636
236;14;FR-R38R-60;LL Road Frame - Red, 60;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;60;U;181,4857;306,5636
237;14;FR-R38R-62;LL Road Frame - Red, 62;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Red;62;U;181,4857;306,5636
238;14;FR-R72R-44;ML Road Frame - Red, 44;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Red;44;U;352,1394;594,83
239;14;FR-R72R-48;ML Road Frame - Red, 48;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Red;48;U;352,1394;594,83
240;14;FR-R72R-52;ML Road Frame - Red, 52;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Red;52;U;352,1394;594,83
241;14;FR-R72R-58;ML Road Frame - Red, 58;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Red;58;U;352,1394;594,83
242;14;FR-R72R-60;ML Road Frame - Red, 60;ML Road Frame;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.;Red;60;U;352,1394;594,83
243;14;FR-R38B-44;LL Road Frame - Black, 44;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;44;U;176,1997;297,6346
244;14;FR-R38B-48;LL Road Frame - Black, 48;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;48;U;176,1997;297,6346
245;14;FR-R38B-52;LL Road Frame - Black, 52;LL Road Frame;The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.;Black;52;U;176,1997;297,6346
246;12;FR-M94S-42;HL Mountain Frame - Silver, 42;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Silver;42;U;623,8403;1204,3248
247;12;FR-M94S-44;HL Mountain Frame - Silver, 44;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Silver;44;U;706,811;1364,5
248;12;FR-M94S-52;HL Mountain Frame - Silver, 48;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Silver;48;U;706,811;1364,5
249;12;FR-M94S-46;HL Mountain Frame - Silver, 46;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Silver;46;U;623,8403;1204,3248
250;12;FR-M94B-42;HL Mountain Frame - Black, 42;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Black;42;U;617,0281;1191,1739
251;12;FR-M94B-44;HL Mountain Frame - Black, 44;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Black;44;U;699,0928;1349,6
252;12;FR-M94B-48;HL Mountain Frame - Black, 48;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Black;48;U;699,0928;1349,6
253;12;FR-M94B-46;HL Mountain Frame - Black, 46;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Black;46;U;617,0281;1191,1739
254;12;FR-M94B-38;HL Mountain Frame - Black, 38;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Black;38;U;617,0281;1191,1739
255;12;FR-M94S-38;HL Mountain Frame - Silver, 38;HL Mountain Frame;Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.;Silver;38;U;623,8403;1204,3248
256;2;BK-R93R-62;Road-150 Red, 62;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Red;62;U;2171,2942;3578,27
257;2;BK-R93R-44;Road-150 Red, 44;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Red;44;U;2171,2942;3578,27
258;2;BK-R93R-48;Road-150 Red, 48;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Red;48;U;2171,2942;3578,27
259;2;BK-R93R-52;Road-150 Red, 52;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Red;52;U;2171,2942;3578,27
260;2;BK-R93R-56;Road-150 Red, 56;Road-150;This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.;Red;56;U;2171,2942;3578,27
261;2;BK-R68R-58;Road-450 Red, 58;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Red;58;U;884,7083;1457,99
262;2;BK-R68R-60;Road-450 Red, 60;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Red;60;U;884,7083;1457,99
263;2;BK-R68R-44;Road-450 Red, 44;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Red;44;U;884,7083;1457,99
264;2;BK-R68R-48;Road-450 Red, 48;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Red;48;U;884,7083;1457,99
265;2;BK-R68R-52;Road-450 Red, 52;Road-450;A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.;Red;52;U;884,7083;1457,99
266;2;BK-R50R-58;Road-650 Red, 58;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;58;U;413,1463;699,0982
267;2;BK-R50R-60;Road-650 Red, 60;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;60;U;413,1463;699,0982
268;2;BK-R50R-62;Road-650 Red, 62;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;62;U;413,1463;699,0982
269;2;BK-R50R-44;Road-650 Red, 44;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;44;U;413,1463;699,0982
270;2;BK-R50R-48;Road-650 Red, 48;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;48;U;413,1463;699,0982
271;2;BK-R50R-52;Road-650 Red, 52;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Red;52;U;413,1463;699,0982
272;2;BK-R50B-58;Road-650 Black, 58;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;58;U;413,1463;699,0982
273;2;BK-R50B-60;Road-650 Black, 60;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;60;U;413,1463;699,0982
274;2;BK-R50B-62;Road-650 Black, 62;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;62;U;413,1463;699,0982
275;2;BK-R50B-44;Road-650 Black, 44;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;44;U;413,1463;699,0982
276;2;BK-R50B-48;Road-650 Black, 48;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;48;U;413,1463;699,0982
277;2;BK-R50B-52;Road-650 Black, 52;Road-650;Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.;Black;52;U;413,1463;699,0982
278;1;BK-M82S-38;Mountain-100 Silver, 38;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Silver;38;U;1912,1544;3399,99
279;1;BK-M82S-42;Mountain-100 Silver, 42;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Silver;42;U;1912,1544;3399,99
280;1;BK-M82S-44;Mountain-100 Silver, 44;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Silver;44;U;1912,1544;3399,99
281;1;BK-M82S-48;Mountain-100 Silver, 48;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Silver;48;U;1912,1544;3399,99
282;1;BK-M82B-38;Mountain-100 Black, 38;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Black;38;U;1898,0944;3374,99
283;1;BK-M82B-42;Mountain-100 Black, 42;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Black;42;U;1898,0944;3374,99
284;1;BK-M82B-44;Mountain-100 Black, 44;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Black;44;U;1898,0944;3374,99
285;1;BK-M82B-48;Mountain-100 Black, 48;Mountain-100;Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.;Black;48;U;1898,0944;3374,99
286;1;BK-M68S-38;Mountain-200 Silver, 38;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Silver;38;U;1117,8559;2071,4196
287;1;BK-M68S-42;Mountain-200 Silver, 42;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Silver;42;U;1117,8559;2071,4196
288;1;BK-M68S-46;Mountain-200 Silver, 46;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Silver;46;U;1117,8559;2071,4196
289;1;BK-M68B-38;Mountain-200 Black, 38;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Black;38;U;1105,81;2049,0982
290;1;BK-M68B-42;Mountain-200 Black, 42;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Black;42;U;1105,81;2049,0982
291;1;BK-M68B-46;Mountain-200 Black, 46;Mountain-200;Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.;Black;46;U;1105,81;2049,0982
292;1;BK-M47B-38;Mountain-300 Black, 38;Mountain-300;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;Black;38;U;598,4354;1079,99
293;1;BK-M47B-40;Mountain-300 Black, 40;Mountain-300;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;Black;40;U;598,4354;1079,99
294;1;BK-M47B-44;Mountain-300 Black, 44;Mountain-300;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;Black;44;U;598,4354;1079,99
295;1;BK-M47B-48;Mountain-300 Black, 48;Mountain-300;For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.;Black;48;U;598,4354;1079,99
296;2;BK-R89R-44;Road-250 Red, 44;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Red;44;U;1518,7864;2443,35
297;2;BK-R89R-48;Road-250 Red, 48;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Red;48;U;1518,7864;2443,35
298;2;BK-R89R-52;Road-250 Red, 52;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Red;52;U;1518,7864;2443,35
299;2;BK-R89R-58;Road-250 Red, 58;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Red;58;U;1320,6838;2181,5625
300;2;BK-R89B-44;Road-250 Black, 44;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Black;44;U;1320,6838;2181,5625
301;2;BK-R89B-48;Road-250 Black, 48;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Black;48;U;1320,6838;2181,5625
302;2;BK-R89B-52;Road-250 Black, 52;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Black;52;U;1320,6838;2181,5625
303;2;BK-R89B-58;Road-250 Black, 58;Road-250;Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.;Black;58;U;1320,6838;2181,5625
304;2;BK-R64Y-38;Road-550-W Yellow, 38;Road-550-W;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;Yellow;38;W;605,6492;1000,4375
305;2;BK-R64Y-40;Road-550-W Yellow, 40;Road-550-W;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;Yellow;40;W;605,6492;1000,4375
306;2;BK-R64Y-42;Road-550-W Yellow, 42;Road-550-W;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;Yellow;42;W;605,6492;1000,4375
307;2;BK-R64Y-44;Road-550-W Yellow, 44;Road-550-W;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;Yellow;44;W;605,6492;1000,4375
308;2;BK-R64Y-48;Road-550-W Yellow, 48;Road-550-W;Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.;Yellow;48;W;605,6492;1000,4375
309;10;FK-1639;LL Fork;LL Fork;Stout design absorbs shock and offers more precise steering.;NA;0;0;65,8097;148,22
310;10;FK-5136;ML Fork;ML Fork;Composite road fork with an aluminum steerer tube.;NA;0;0;77,9176;175,49
311;10;FK-9939;HL Fork;HL Fork;High-performance carbon road fork with curved legs.;NA;0;0;101,8936;229,49
312;11;HS-0296;LL Headset;LL Headset;Threadless headset provides quality at an economical price.;NA;0;0;15,1848;34,2
313;11;HS-2451;ML Headset;ML Headset;Sealed cartridge keeps dirt out.;NA;0;0;45,4168;102,29
314;11;HS-3479;HL Headset;HL Headset;"High-quality 1"" threadless headset with a grease port for quick lubrication.";NA;0;0;55,3801;124,73
315;4;HB-M243;LL Mountain Handlebars;LL Mountain Handlebars;All-purpose bar for on or off-road.;NA;0;0;17,978;40,4909
316;4;HB-M763;ML Mountain Handlebars;ML Mountain Handlebars;Tough aluminum alloy bars for downhill.;NA;0;0;24,9932;56,2909
317;4;HB-M918;HL Mountain Handlebars;HL Mountain Handlebars;Flat bar strong enough for the pro circuit.;NA;0;0;48,5453;109,3364
318;4;HB-R504;LL Road Handlebars;LL Road Handlebars;Unique shape provides easier reach to the levers.;NA;0;0;17,978;40,4909
319;4;HB-R720;ML Road Handlebars;ML Road Handlebars;Anatomically shaped aluminum tube bar will suit all riders.;NA;0;0;24,9932;56,2909
320;4;HB-R956;HL Road Handlebars;HL Road Handlebars;"Designed for racers; high-end anatomically shaped bar from aluminum alloy.";NA;0;0;48,5453;109,3364
321;12;FR-M63B-38;ML Mountain Frame - Black, 38;ML Mountain Frame-W;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.;Black;38;U;185,8193;348,76
322;17;FW-M423;LL Mountain Front Wheel;LL Mountain Front Wheel;Replacement mountain wheel for entry-level rider.;Black;0;0;26,9708;60,745
323;17;FW-M762;ML Mountain Front Wheel;ML Mountain Front Wheel;Replacement mountain wheel for the casual to serious rider.;Black;0;0;92,8071;209,025
324;17;FW-M928;HL Mountain Front Wheel;HL Mountain Front Wheel;High-performance mountain replacement wheel.;Black;0;0;133,2955;300,215
325;17;FW-R623;LL Road Front Wheel;LL Road Front Wheel;Replacement road front wheel for entry-level cyclist.;Black;0;0;37,9909;85,565
326;17;FW-R762;ML Road Front Wheel;ML Road Front Wheel;Sturdy alloy features a quick-release hub.;Black;0;0;110,2829;248,385
327;17;FW-R820;HL Road Front Wheel;HL Road Front Wheel;Strong wheel with double-walled rim.;Black;0;0;146,5466;330,06
328;17;FW-T905;Touring Front Wheel;Touring Front Wheel;Aerodynamic rims for smooth riding.;Black;0;0;96,7964;218,01
329;14;FR-R72Y-38;ML Road Frame-W - Yellow, 38;ML Road Frame-W;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;Yellow;38;W;300,1188;540,7545
330;17;RW-M423;LL Mountain Rear Wheel;LL Mountain Rear Wheel;Replacement mountain wheel for entry-level rider.;Black;0;0;38,9588;87,745
331;17;RW-M762;ML Mountain Rear Wheel;ML Mountain Rear Wheel;Replacement mountain wheel for the casual to serious rider.;Black;0;0;104,7951;236,025
332;17;RW-M928;HL Mountain Rear Wheel;HL Mountain Rear Wheel;High-performance mountain replacement wheel.;Black;0;0;145,2835;327,215
333;17;RW-R623;LL Road Rear Wheel;LL Road Rear Wheel;Replacement road rear wheel for entry-level cyclist.;Black;0;0;49,9789;112,565
334;17;RW-R762;ML Road Rear Wheel;ML Road Rear Wheel;"Aluminum alloy rim with stainless steel spokes; built for speed.";Black;0;0;122,2709;275,385
335;17;RW-R820;HL Road Rear Wheel;HL Road Rear Wheel;Strong rear wheel with double-walled rim.;Black;0;0;158,5346;357,06
336;17;RW-T905;Touring Rear Wheel;Touring Rear Wheel;Excellent aerodynamic rims guarantee a smooth ride.;Black;0;0;108,7844;245,01
337;12;FR-M63B-40;ML Mountain Frame - Black, 40;ML Mountain Frame;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.;Black;40;U;185,8193;348,76
338;12;FR-M63B-44;ML Mountain Frame - Black, 44;ML Mountain Frame;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.;Black;44;U;185,8193;348,76
339;12;FR-M63B-48;ML Mountain Frame - Black, 48;ML Mountain Frame;The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.;Black;48;U;185,8193;348,76
340;14;FR-R72Y-40;ML Road Frame-W - Yellow, 40;ML Road Frame-W;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;Yellow;40;W;300,1188;540,7545
341;14;FR-R72Y-42;ML Road Frame-W - Yellow, 42;ML Road Frame-W;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;Yellow;42;W;300,1188;540,7545
342;14;FR-R72Y-44;ML Road Frame-W - Yellow, 44;ML Road Frame-W;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;Yellow;44;W;300,1188;540,7545
343;14;FR-R72Y-48;ML Road Frame-W - Yellow, 48;ML Road Frame-W;Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version.;Yellow;48;W;300,1188;540,7545
344;14;FR-R92B-62;HL Road Frame - Black, 62;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Black;62;U;722,2568;1301,3636
345;14;FR-R92B-44;HL Road Frame - Black, 44;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Black;44;U;722,2568;1301,3636
346;14;FR-R92B-48;HL Road Frame - Black, 48;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Black;48;U;722,2568;1301,3636
347;14;FR-R92B-52;HL Road Frame - Black, 52;HL Road Frame;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";Black;52;U;722,2568;1301,3636
348;22;SH-M897-S;Men's Sports Shorts, S;Men's Sports Shorts;Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.;Black;S;M;24,7459;59,99
349;35;PA-T100;Touring-Panniers, Large;Touring-Panniers;Durable, water-proof nylon construction with easy access. Large enough for weekend trips.;Grey;0;0;51,5625;125
350;34;LO-C100;Cable Lock;Cable Lock;Wraps to fit front and rear tires, carrier and 2 keys included.;NA;0;0;10,3125;25
351;36;PU-0452;Minipump;Minipump;Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.;NA;0;0;8,2459;19,99
352;36;PU-M044;Mountain Pump;Mountain Pump;Simple and light-weight. Emergency patches stored in handle.;NA;0;0;10,3084;24,99
353;33;LT-T990;Taillights - Battery-Powered;Taillight;Affordable light for safe night riding - uses 3 AAA batteries;NA;0;0;5,7709;13,99
354;33;LT-H902;Headlights - Dual-Beam;Headlights - Dual-Beam;Rechargeable dual-beam headlight.;NA;0;0;14,4334;34,99
355;33;LT-H903;Headlights - Weatherproof;Headlights - Weatherproof;Rugged weatherproof headlight.;NA;0;0;18,5584;44,99
356;22;SH-M897-M;Men's Sports Shorts, M;Men's Sports Shorts;Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.;Black;M;M;24,7459;59,99
357;22;SH-M897-L;Men's Sports Shorts, L;Men's Sports Shorts;Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.;Black;L;M;24,7459;59,99
358;22;SH-M897-X;Men's Sports Shorts, XL;Men's Sports Shorts;Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.;Black;XL;M;24,7459;59,99
359;24;TG-W091-S;Women's Tights, S;Women's Tights;"Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.";Black;S;W;30,9334;74,99
